法人名称,現場名称,セグメント
みずほ信託銀行（株）,津田沼,役員
第一生命保険（株）,千葉総合支社,役員
日本生命保険（相）,船橋支社,役員
みずほ証券（株）,千葉支店,役員
第一生命保険（株）,船橋支社,役員
住友生命保険（相）,千葉支社,役員
（株）みずほ銀行,船橋法人部,役員
（株）きんでん,東関東支社,役員
